title,imdb_score,predicted_score
Taxi Driver,8.2,8.999891186403609
Deliverance,7.7,6.93482828954059
Monty Python and the Holy Grail,8.2,7.629699739048142
The Dirty Dozen,7.7,7.32100410871508
Life of Brian,8.0,7.626343877203752
Dirty Harry,7.7,6.780537653234482
Bonnie and Clyde,7.7,7.319275712230599
The Blue Lagoon,5.8,6.591681693861958
The Guns of Navarone,7.5,7.698254004262999
The Professionals,7.3,6.852126416767561
Richard Pryor: Live in Concert,8.1,7.613959579431608
White Christmas,7.5,7.021766776234081
Cairo Station,7.5,7.216988471983015
Hitler: A Career,7.5,8.262053657613293
FTA,6.2,8.039611865504263
Alexandria… Why?,7.2,7.182469753655262
The Land,8.1,7.335857201698005
Dostana,2.1,6.78395253869742
Saladin the Victorious,7.6,7.697168755833339
Alibaba Aur 40 Chor,6.2,6.465786945434857
The Blazing Sun,7.4,7.094185115525299
Dark Waters,6.7,6.6459895139920775
We Are All for the Fatherland,6.1,7.461929666166768
Singapore,6.4,7.4788133928261615
"Beirut, Oh Beirut",6.4,7.089816820300854
The Return of the Prodigal Son,7.2,7.183293176149199
Khoon Khoon,5.1,6.7931694720000735
Manoranjan,6.5,7.157556840653697
Ujala,6.6,7.296058372337228
Whispers,7.8,7.577293257598896
Chadi Jawani Budhe Nu,4.6,6.653678111441614
Bandie,4.4,6.638140906614417
GoodFellas,8.7,9.675356929636322
Full Metal Jacket,8.3,8.811509369844089
Once Upon a Time in America,8.3,8.00331956469224
When Harry Met Sally...,7.7,6.993947494621118
A Nightmare on Elm Street,7.4,6.672584741851402
Steel Magnolias,7.3,6.660883494338833
Police Academy,6.7,6.987031088831266
Christine,6.7,6.236585291665541
Awakenings,7.8,7.306319140519456
National Lampoon's Christmas Vacation,7.5,7.021489572190276
Lean On Me,7.4,6.96664309577492
Eddie Murphy Raw,7.6,7.585608976388841
She's Gotta Have It,6.7,6.259224416905937
Endless Love,4.9,6.805119279319115
Vaashi,6.7,6.792832435503485
Mobile Suit Gundam: Char's Counterattack,7.3,7.262296842899751
Mobile Suit Gundam II: Soldiers of Sorrow,7.2,7.4863360456048795
Sam Kinison: Breaking the Rules,7.2,7.262750376129205
Waiting for the Hearse,8.0,6.517381674285062
Tim Allen: Men Are Pigs,6.1,6.971550591838877
Mobile Suit Gundam III: Encounters in Space,7.6,7.545382919569086
Monty Python Live at the Hollywood Bowl,7.9,7.602939860777653
Disco Dancer,6.4,6.605464812378891
Agneepath,7.6,7.029608732282412
Parrot Sketch Not Included: Twenty Years of Monty Python,8.1,6.328953269289045
Too Young The Hero,6.7,6.974124519692801
A Stoning in Fulham County,5.9,6.706005366397264
The Ryan White Story,7.2,6.781967827704982
Dil,6.6,6.949404011825294
Adam: His Song Continues,7.0,6.845499781239418
The George McKenna Story,6.0,6.78615042254858
