title,imdb_score,predicted_score
Taxi Driver,8.2,8.378362604052242
Deliverance,7.7,6.228631209615745
Monty Python and the Holy Grail,8.2,6.875637418145007
The Dirty Dozen,7.7,7.512580201410108
Life of Brian,8.0,7.001322166072477
Dirty Harry,7.7,6.155672421391452
Bonnie and Clyde,7.7,7.286451721347654
The Blue Lagoon,5.8,6.122480553265493
The Guns of Navarone,7.5,7.775896864333293
The Professionals,7.3,6.531324478056601
Richard Pryor: Live in Concert,8.1,7.050945411239206
White Christmas,7.5,6.997880430486429
Cairo Station,7.5,7.1873429652660485
Hitler: A Career,7.5,7.748831980505521
FTA,6.2,7.3643377571968855
Alexandria… Why?,7.2,6.755687565589394
The Land,8.1,7.412782034548437
Saladin the Victorious,7.6,7.821820632547652
Alibaba Aur 40 Chor,6.2,6.035711221120914
The Blazing Sun,7.4,7.09379645320139
Dark Waters,6.7,6.6187315519785646
We Are All for the Fatherland,6.1,6.972205692374777
Singapore,6.4,7.579996623061662
"Beirut, Oh Beirut",6.4,6.576378253453504
The Return of the Prodigal Son,7.2,6.696463516719917
Khoon Khoon,5.1,6.4415609477856846
Manoranjan,6.5,6.561198609616508
Ujala,6.6,7.48959156433359
Whispers,7.8,7.24909043413336
Bandie,4.4,6.058152782937988
GoodFellas,8.7,9.370002587669735
Full Metal Jacket,8.3,8.57520744945636
Once Upon a Time in America,8.3,7.747775040849754
When Harry Met Sally...,7.7,6.693636716106547
A Nightmare on Elm Street,7.4,6.241002251840464
Steel Magnolias,7.3,6.47992194256515
Police Academy,6.7,6.655476318287
Christine,6.7,5.859370474843967
Awakenings,7.8,7.0291887767179775
National Lampoon's Christmas Vacation,7.5,6.730841468172594
Lean On Me,7.4,6.734871544360718
Eddie Murphy Raw,7.6,7.295682444579487
She's Gotta Have It,6.7,5.965677527357757
Endless Love,4.9,6.426826280423353
Vaashi,6.7,6.584115843423455
Mobile Suit Gundam: Char's Counterattack,7.3,7.20815702296634
Mobile Suit Gundam II: Soldiers of Sorrow,7.2,7.335581184355835
Sam Kinison: Breaking the Rules,7.2,6.891145579302266
Waiting for the Hearse,8.0,6.2633168500073895
Mobile Suit Gundam III: Encounters in Space,7.6,7.46312193660521
Monty Python Live at the Hollywood Bowl,7.9,7.21468741685645
Disco Dancer,6.4,6.3317560541820015
Agneepath,7.6,6.987633998296175
Parrot Sketch Not Included: Twenty Years of Monty Python,8.1,6.139261765401587
Too Young The Hero,6.7,6.938877755638018
A Stoning in Fulham County,5.9,6.684680693669694
The Ryan White Story,7.2,6.6483484535493265
Dil,6.6,6.8311162000440575
Adam: His Song Continues,7.0,6.719237403578777
The George McKenna Story,6.0,6.620646812891318
In Defense of a Married Man,5.6,6.618289755049549
Mujrim,5.4,6.946519531068365
Aakhri Adaalat,5.1,6.346881871271007
"Alexandria, Again and Forever",6.5,6.557951987840475
Duniya,6.3,6.737956516753217
Strange Voices,6.3,6.637658781264396
Jaal,5.2,6.588252090318026
Quiet Victory: The Charlie Wedemeyer Story,7.2,6.611853687379382
Muqaddar Ka Faisla,4.8,6.661836781224807
Pyar Ke Do Pal,6.1,6.433155068123846
Sohni Mahiwal,6.1,6.3886653974486665
Ek Jaan Hain Hum,6.3,6.100129852917666
An Egyptian Story,7.3,6.8594365581616294
The Little Wars,6.3,6.964347995089173
Unspeakable Acts,6.1,6.601043709997886
Mission: Impossible,7.1,6.766175901632603
Se7en,8.6,9.8794095533711
Boogie Nights,7.9,7.5430692858508746
Forrest Gump,8.8,10.693228537128181
Snatch,8.3,8.168981798579345
The Talented Mr. Ripley,7.4,7.2134325375036745
Titanic,7.9,9.406962481584749
Starship Troopers,7.3,6.46575281402525
Mission: Impossible II,6.1,6.685542321836907
Dumb and Dumber,7.3,7.204790744826032
Gattaca,7.8,6.520467705876121
Léon: The Professional,8.5,8.44193917123185
The Quick and the Dead,6.5,5.4512983252791125
You've Got Mail,6.7,6.759049094816227
Big Daddy,6.4,6.963405306898282
Vampires,6.1,5.5411726548290865
Donnie Brasco,7.7,7.349000337860755
A River Runs Through It,7.2,6.819381307518536
"Girl, Interrupted",7.3,7.1297406690150575
Last Action Hero,6.4,6.421321359450529
My Girl,6.9,5.991252168733148
Wyatt Earp,6.7,6.998535593311002
Eraser,6.1,6.4745395179993075
Neon Genesis Evangelion: The End of Evangelion,8.0,6.75406220932383
Vegas Vacation,5.9,6.345593922661888
In the Line of Fire,7.2,6.586285134180229
Little Women,7.3,6.135005343673501
U.S. Marshals,6.5,6.436568486518749
Anaconda,4.8,5.459259749715033
The Replacements,6.6,6.649063191361126
Seven Years in Tibet,7.1,7.411254557628811
The Net,5.9,6.419302820627085
Cliffhanger,6.5,6.8496870367082785
Menace II Society,7.5,6.591342154351924
Johnny Mnemonic,5.6,5.904106779750632
3 Ninjas Kick Back,4.5,5.641888633976037
Edge of Seventeen,6.8,6.269639449008538
The Devil's Own,6.2,6.2553026895413915
Spawn,5.2,5.675353413306895
Croupier,7.0,6.627618379052238
The Next Karate Kid,4.5,5.717834215121495
Geronimo: An American Legend,6.5,6.658788299066306
Double Team,4.8,5.63440554663317
Heavy,6.8,6.292944845484661
The Players Club,5.9,6.657835460965835
Kuch Kuch Hota Hai,7.6,7.08520287269044
Children of God,6.3,6.949542778065762
Knight Rider 2000,4.5,5.712873490155179
Hum Aapke Hain Koun..!,7.5,7.233882720022948
Dil Se..,7.5,6.935523491162476
Jerry Seinfeld: I'm Telling You for the Last Time,7.9,7.009238625290683
Sankofa,7.0,6.758358302313743
Herod's Law,7.8,6.485602903984992
Wild Tango,6.7,6.403364867476142
The Last Days,7.9,7.94748650669585
Sam Kinison: Live in Vegas,6.6,6.8832901534353965
Bill Hicks: Revelations,8.5,7.034672433885132
Bombay,8.1,6.63469871557384
Mann,6.1,6.928374739202935
Soldier,6.2,6.152971254168841
Sinbad: Son of a Preacher Man,6.8,6.833986262378862
Damini,7.8,7.312808417606853
Hum Saath Saath Hain,6.2,6.7344355616497085
Destiny,7.1,6.653047586918826
Chronicle of a Disappearance,6.9,6.402050447013089
Muthu,7.6,6.4070807640355545
Jeans,6.4,6.809022573245979
Monty Python: Live at Aspen,7.8,6.834747526036633
Minsara Kanavu,6.7,6.616489603369173
Duplicate,5.5,6.449219906531961
Avvai Shanmugi,7.9,7.183903360058736
Anjaam,6.6,6.471099236056681
A Triumph of the Heart: The Ricky Bell Story,7.2,6.5631065292491835
Phir Bhi Dil Hai Hindustani,6.1,6.836759497510337
Children of Shatila,8.1,6.91513932469139
West Beirut,7.6,6.51109129544459
Govindha Govindha,6.6,6.737615568378888
Out of Life,6.9,6.890686210073531
Gumrah,6.1,6.465339537121376
Sinbad: Nothin' but the Funk,6.3,6.839926954443034
Sinbad: Afros and Bellbottoms,7.8,6.982185295345003
Fiza,6.0,6.396207779801361
Before the Flying Circus,7.3,6.788169310448484
The Other,5.9,6.189547117354334
Yodha,4.5,6.495281832018386
The Emigrant,6.5,6.743260526299828
Hello Brother,4.6,6.052327453892862
Dushmani,5.0,6.379493901694135
Nightmare in Columbia County,5.5,6.4372776025044445
Shikari,5.8,6.803401517577919
The Mist,7.1,6.251227294579172
Mean Girls,7.1,7.109084029710442
Catch Me If You Can,8.1,8.951574937623068
Old School,7.0,6.681616982250729
Anchorman: The Legend of Ron Burgundy,7.1,7.04313366540241
Inception,8.8,10.363261977563276
The Departed,8.5,9.130000217208273
Insidious,6.8,6.118506808696024
War of the Worlds,6.5,6.668689271485134
Wanted,6.7,6.815249420386956
Casino Royale,8.0,7.359728032798192
The Terminal,7.4,7.351584615210003
Michael Clayton,7.2,6.909000867577624
Road to Perdition,7.7,8.014528826507174
Big Fish,8.0,7.072400724012083
The Hurt Locker,7.5,7.844274844397795
Troy,7.3,8.276697938441735
Sherlock Holmes,7.6,7.447528272130001
Love Actually,7.6,7.5020229347673535
Get Smart,6.5,6.326441699979086
Quantum of Solace,6.6,6.739826829322818
The Blind Side,7.6,7.550132996068893
Identity,7.3,6.518621043865377
I Am Legend,7.2,7.298310025279729
Grown Ups,5.9,6.929377795232938
The Girl Next Door,6.7,6.704486646025381
Public Enemies,7.0,7.439922982505954
Not Another Teen Movie,5.7,6.4646908736087125
Blow,7.5,7.318067455621377
Hancock,6.4,7.275360560102595
The Pursuit of Happyness,8.0,7.737491110420423
Monster,7.3,6.811442003409765
Rambo,7.0,6.417766236389625
Something's Gotta Give,6.7,6.734769794380667
Harold & Kumar Go to White Castle,7.0,6.552594251365867
Thir13en Ghosts,5.6,5.704386210107158
Cloudy with a Chance of Meatballs,6.9,6.745045586834848
Halloween,6.0,6.145705091611337
Jackass: The Movie,6.6,6.99383211956334
Semi-Pro,5.8,6.31844027391753
The Lake House,6.8,7.168711346445187
The Girl Next Door,6.5,5.872612845770705
The Book of Eli,6.8,6.418988536855345
Blood Diamond,8.0,7.462533388800003
Just Like Heaven,6.7,6.4746645127928195
Ip Man,8.0,6.975606378816911
21,6.8,7.321073530069734
Friday the 13th,5.5,5.818276037501033
Let Me In,7.1,6.083009713683146
A Nightmare on Elm Street,5.2,5.915396070808351
Miss Congeniality 2: Armed and Fabulous,5.1,6.421859793327915
The Bucket List,7.4,6.949095770073683
Scary Movie 4,5.1,5.9382238023519855
The Sweetest Thing,5.1,5.949983435249875
How Do You Know,5.4,6.39065380960431
Mr. Bean's Holiday,6.4,6.143294924112162
The Interpreter,6.4,6.700613231217032
John Q,7.0,6.866861667594265
3 Idiots,8.4,7.960171164985167
The One,5.9,5.720046245817789
The Texas Chainsaw Massacre,6.2,6.221238811001628
The Cat in the Hat,4.0,5.679320367516467
Tears of the Sun,6.6,6.705327343584306
Due Date,6.5,7.028003812252842
We Are Marshall,7.0,6.9039618231162425
Blood and Bone,6.7,6.154675235536373
Freddy vs. Jason,5.7,5.691668154891863
The Golden Compass,6.1,6.349241768245688
The Men Who Stare at Goats,6.2,6.872723425463876
Cleaner,6.1,6.196159779219925
Monster House,6.6,6.8715701037166275
Good Luck Chuck,5.6,6.114503652309155
"10,000 BC",5.1,6.685305174212104
Cop Out,5.5,5.903162318640221
The Cave,5.1,5.077543570098349
Starsky & Hutch,6.1,6.774791147948436
New York Minute,4.9,5.640635160820908
Rumor Has It...,5.5,6.3390028762719
Comedian,6.9,7.118015307470406
Catch and Release,5.9,6.31364972721299
Lagaan: Once Upon a Time in India,8.1,7.19101787575778
Friends with Money,5.8,6.202759164691151
Ip Man 2,7.5,6.572586458732184
Life As We Know It,6.5,6.457018544036647
Death at a Funeral,5.7,6.423219265184062
Dreamer: Inspired By a True Story,6.8,6.385756955860547
Premonition,5.9,6.557057290725867
Soul Plane,4.5,5.895770248178629
The Texas Chainsaw Massacre: The Beginning,5.8,6.552645558979089
Louis C.K.: Hilarious,8.4,6.046151938081182
Deck the Halls,5.0,5.962883881596326
Takers,6.2,6.116555489663364
Like Stars on Earth,8.3,7.145374515301164
Did You Hear About the Morgans?,4.9,6.386108453186237
Stuart Little 2,5.5,6.330403698633307
Half Past Dead,4.6,5.89293865162027
Christmas with the Kranks,5.4,6.019879437922208
Alpha and Omega,5.1,5.758894416353104
Initial D,6.3,6.493031823490454
Naruto Shippuden the Movie,6.7,6.38805966136823
Gifted Hands: The Ben Carson Story,7.6,6.453000624098959
The Legend of the Nahuala,6.1,6.537105520266315
One Piece: Strong World,7.5,6.860466044345635
Chaos,6.4,6.142768151454174
Waist Deep,5.8,6.129528684556975
Trailer Park Boys: The Movie,7.1,6.422296957675688
Tito,7.2,6.984457614103003
Even the Rain,7.4,6.630117982794474
Katt Williams: The Pimp Chronicles Pt. 1,7.6,6.714607497969804
Udaan,8.1,6.874454015044457
Om Shanti Om,6.7,6.289386405312294
Trailer Park Boys: Countdown to Liquor Day,7.3,6.44967890648074
Kabhi Khushi Kabhie Gham,7.4,7.292997161842861
Kal Ho Naa Ho,7.9,7.040074224962082
Jab We Met,7.9,6.78438054544654
From Within,5.6,6.707886563744814
Black Friday,8.4,7.164463878631646
Jodhaa Akbar,7.5,7.570434802752789
"Cairo 6,7,8",7.4,6.415482519402216
Zach Galifianakis: Live at the Purple Onion,7.2,6.852598107070872
First Sunday,4.5,6.3112485946470445
Inuyasha the Movie: Affections Touching Across Time,7.2,6.7428048153935585
Swades,8.1,7.447791525632363
Bon Cop Bad Cop,6.5,6.0536226178320565
The Boy Who Cried Werewolf,5.9,5.410845208988836
Rang De Basanti,8.1,7.62278245068613
Guru,7.7,7.737234816679516
Whitney Cummings: Money Shot,6.2,6.5538508684145125
Welcome,7.0,6.451026140832462
Jim Gaffigan: King Baby,7.7,6.958074458813289
Mike Birbiglia: What I Should Have Said Was Nothing,7.6,5.893192130259429
Dil Chahta Hai,8.1,7.087767466938791
Anbe Sivam,8.7,7.1362078918573895
Tony Manero,6.8,6.453123459404929
A Lion in the House,8.7,8.394333092838817
Bleach the Movie: Fade to Black,7.1,6.934518870313212
Delta Farce,3.6,5.9786541085392155
My Suicide,7.0,6.66974209634735
Phir Hera Pheri,7.1,6.947186073187625
Naruto Shippuden the Movie: The Lost Tower,6.8,6.464908323452649
Divine Intervention,6.6,6.339225100466886
Da Kath & Kim Code,7.3,6.2446799536221125
Kevin Hart: I'm a Grown Little Man,7.5,7.028814164182203
Bleach the Movie: Hell Verse,7.4,6.571924673700841
