movieId,title,genres_x,id,type,description,release_year,age_certification,runtime,genres_y,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
7,Sabrina,Comedy|Romance,tm371619,MOVIE,"Maira lives happily with Aiden, a doll maker and toy company owner. But Vanya, their adopted daughter and Aiden's niece, is still dealing with the loss of her birth mother. After Vanya plays Charlie's Pencil to summon her late mother, strange things begin to happen.",2018,,98,"['horror', 'thriller']","['ID', 'MY', 'SG']",,tt7981492,4.1,1757.0,19.396,5.3
915,Sabrina,Comedy|Romance,tm371619,MOVIE,"Maira lives happily with Aiden, a doll maker and toy company owner. But Vanya, their adopted daughter and Aiden's niece, is still dealing with the loss of her birth mother. After Vanya plays Charlie's Pencil to summon her late mother, strange things begin to happen.",2018,,98,"['horror', 'thriller']","['ID', 'MY', 'SG']",,tt7981492,4.1,1757.0,19.396,5.3
196339,Sabrina,Horror,tm371619,MOVIE,"Maira lives happily with Aiden, a doll maker and toy company owner. But Vanya, their adopted daughter and Aiden's niece, is still dealing with the loss of her birth mother. After Vanya plays Charlie's Pencil to summon her late mother, strange things begin to happen.",2018,,98,"['horror', 'thriller']","['ID', 'MY', 'SG']",,tt7981492,4.1,1757.0,19.396,5.3
28,Persuasion,Drama|Romance,tm1170388,MOVIE,"Living with her snobby family on the brink of bankruptcy, Anne Elliot is an unconforming woman with modern sensibilities. When Frederick Wentworth - the dashing one she once sent away - crashes back into her life, Anne must choose between putting the past behind her or listening to her heart when it comes to second chances.",2022,PG,107,"['romance', 'drama', 'comedy']","['US', 'GB']",,tt13456318,,,127.205,6.0
74508,Persuasion,Drama|Romance,tm1170388,MOVIE,"Living with her snobby family on the brink of bankruptcy, Anne Elliot is an unconforming woman with modern sensibilities. When Frederick Wentworth - the dashing one she once sent away - crashes back into her life, Anne must choose between putting the past behind her or listening to her heart when it comes to second chances.",2022,PG,107,"['romance', 'drama', 'comedy']","['US', 'GB']",,tt13456318,,,127.205,6.0
164805,Persuasion,(no genres listed),tm1170388,MOVIE,"Living with her snobby family on the brink of bankruptcy, Anne Elliot is an unconforming woman with modern sensibilities. When Frederick Wentworth - the dashing one she once sent away - crashes back into her life, Anne must choose between putting the past behind her or listening to her heart when it comes to second chances.",2022,PG,107,"['romance', 'drama', 'comedy']","['US', 'GB']",,tt13456318,,,127.205,6.0
61,Eye for an Eye,Drama|Thriller,tm452962,MOVIE,"Mario, an exemplary man, lives in a village on the Galician coast. In the old people’s home, where he works as a nurse, everyone appreciates him. When the best known narco in the area, Antonio Padín, recently released from prison, enters the residence, Mario tries to make Antonio feel at home.  Now, Padín's two sons, Kike and Toño, are in charge of the family business. The failure of an operation will put Kike in jail and cause them to owe a large debt to a Colombian supplier. Toño will turn to the nurse to try to convince his father to assume the debt. But Mario has his own plans.",2019,,107,"['drama', 'thriller', 'crime', 'action', 'european']","['US', 'FR', 'ES']",,tt7967412,6.6,7625.0,10.68,6.7
206262,Eye for an Eye,Thriller,tm452962,MOVIE,"Mario, an exemplary man, lives in a village on the Galician coast. In the old people’s home, where he works as a nurse, everyone appreciates him. When the best known narco in the area, Antonio Padín, recently released from prison, enters the residence, Mario tries to make Antonio feel at home.  Now, Padín's two sons, Kike and Toño, are in charge of the family business. The failure of an operation will put Kike in jail and cause them to owe a large debt to a Colombian supplier. Toño will turn to the nurse to try to convince his father to assume the debt. But Mario has his own plans.",2019,,107,"['drama', 'thriller', 'crime', 'action', 'european']","['US', 'FR', 'ES']",,tt7967412,6.6,7625.0,10.68,6.7
111,Taxi Driver,Crime|Drama|Thriller,tm84618,MOVIE,A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,1976,R,114,"['drama', 'crime']",['US'],,tt0075314,8.2,808582.0,40.965,8.179
111,Taxi Driver,Crime|Drama|Thriller,tm248010,MOVIE,"A small-town mechanic turned chauffeur for the mob gets caught up in the troubles of a beautiful sex worker, in this Scorsese-meets-Nollywood crime comedy that transforms the fast-paced and vibrant city of Lagos into an expressionistic film noir metropolis.",2015,,100,"['comedy', 'crime', 'drama']",['NG'],,tt5112438,6.0,69.0,1.191,5.3
185225,Taxi Driver,Romance,tm84618,MOVIE,A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,1976,R,114,"['drama', 'crime']",['US'],,tt0075314,8.2,808582.0,40.965,8.179
185225,Taxi Driver,Romance,tm248010,MOVIE,"A small-town mechanic turned chauffeur for the mob gets caught up in the troubles of a beautiful sex worker, in this Scorsese-meets-Nollywood crime comedy that transforms the fast-paced and vibrant city of Lagos into an expressionistic film noir metropolis.",2015,,100,"['comedy', 'crime', 'drama']",['NG'],,tt5112438,6.0,69.0,1.191,5.3
198091,Taxi Driver,(no genres listed),tm84618,MOVIE,A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,1976,R,114,"['drama', 'crime']",['US'],,tt0075314,8.2,808582.0,40.965,8.179
198091,Taxi Driver,(no genres listed),tm248010,MOVIE,"A small-town mechanic turned chauffeur for the mob gets caught up in the troubles of a beautiful sex worker, in this Scorsese-meets-Nollywood crime comedy that transforms the fast-paced and vibrant city of Lagos into an expressionistic film noir metropolis.",2015,,100,"['comedy', 'crime', 'drama']",['NG'],,tt5112438,6.0,69.0,1.191,5.3
139,Target,Action|Drama,tm407730,MOVIE,"Trapped in an empty building, nine people are forced to play a lethal game. All their movements will be recorded, and only one player can survive.",2018,,93,"['horror', 'comedy', 'thriller']",['ID'],,tt8512320,4.0,509.0,1.938,4.1
26559,Target,Action|Drama|Thriller,tm407730,MOVIE,"Trapped in an empty building, nine people are forced to play a lethal game. All their movements will be recorded, and only one player can survive.",2018,,93,"['horror', 'comedy', 'thriller']",['ID'],,tt8512320,4.0,509.0,1.938,4.1
149,Amateur,Crime|Drama|Thriller,tm407295,MOVIE,14-year-old basketball phenom Terron Forte has to navigate the under-the-table world of amateur athletics when he is recruited to an elite NCAA prep school.,2018,R,17,"['drama', 'sport']",['US'],,tt5580392,5.9,4459.0,15.455,6.5
200370,Amateur,Drama,tm407295,MOVIE,14-year-old basketball phenom Terron Forte has to navigate the under-the-table world of amateur athletics when he is recruited to an elite NCAA prep school.,2018,R,17,"['drama', 'sport']",['US'],,tt5580392,5.9,4459.0,15.455,6.5
172,Johnny Mnemonic,Action|Sci-Fi|Thriller,tm10739,MOVIE,"In a dystopian 2021, Johnny is a data trafficker who has an implant that allows him to securely store data too sensitive for regular computer networks. On one delivery run, he accepts a package that not only exceeds the implant's safety limits—and will kill him if the data is not removed in time—but also contains information far more important and valuable than he had ever imagined. On a race against time, he must avoid the assassins sent to kill him and remove the data before it, too, ends his life.",1995,R,97,"['action', 'drama', 'scifi', 'thriller']","['CA', 'US']",,tt0113481,5.6,71563.0,10.75,5.7
190,Safe,Thriller,ts58367,SHOW,"After his daughter goes missing, a widower begins uncovering the dark secrets of the people closest to him.",2018,TV-MA,45,"['drama', 'thriller', 'crime', 'european']",['GB'],1.0,tt7902072,7.2,42239.0,9.531,6.9
94405,Safe,Action|Crime|Thriller,ts58367,SHOW,"After his daughter goes missing, a widower begins uncovering the dark secrets of the people closest to him.",2018,TV-MA,45,"['drama', 'thriller', 'crime', 'european']",['GB'],1.0,tt7902072,7.2,42239.0,9.531,6.9
225,Disclosure,Drama|Thriller,tm845437,MOVIE,"An investigation of how Hollywood's fabled stories have deeply influenced how Americans feel about transgender people, and how transgender people have been taught to feel about themselves.",2020,,107,['documentation'],['US'],,tt8637504,8.2,5421.0,13.019,8.2
261,Little Women,Drama,tm113576,MOVIE,"With their father away as a chaplain in the Civil War, Jo, Meg, Beth and Amy grow up with their mother in somewhat reduced circumstances. They are a close family who inevitably have their squabbles and tragedies. But the bond holds even when, later, male friends start to become a part of the household.",1994,PG,115,"['drama', 'romance', 'family']",['US'],,tt0110367,7.3,58178.0,13.683,7.314
4921,Little Women,Drama|Romance,tm113576,MOVIE,"With their father away as a chaplain in the Civil War, Jo, Meg, Beth and Amy grow up with their mother in somewhat reduced circumstances. They are a close family who inevitably have their squabbles and tragedies. But the bond holds even when, later, male friends start to become a part of the household.",1994,PG,115,"['drama', 'romance', 'family']",['US'],,tt0110367,7.3,58178.0,13.683,7.314
7054,Little Women,Drama,tm113576,MOVIE,"With their father away as a chaplain in the Civil War, Jo, Meg, Beth and Amy grow up with their mother in somewhat reduced circumstances. They are a close family who inevitably have their squabbles and tragedies. But the bond holds even when, later, male friends start to become a part of the household.",1994,PG,115,"['drama', 'romance', 'family']",['US'],,tt0110367,7.3,58178.0,13.683,7.314
202145,Little Women,Drama,tm113576,MOVIE,"With their father away as a chaplain in the Civil War, Jo, Meg, Beth and Amy grow up with their mother in somewhat reduced circumstances. They are a close family who inevitably have their squabbles and tragedies. But the bond holds even when, later, male friends start to become a part of the household.",1994,PG,115,"['drama', 'romance', 'family']",['US'],,tt0110367,7.3,58178.0,13.683,7.314
288,Natural Born Killers,Action|Crime|Thriller,tm116488,MOVIE,Two victims of traumatized childhoods become lovers and serial murderers irresponsibly glorified by the mass media.,1994,R,118,"['thriller', 'drama', 'crime', 'action']",['US'],,tt0110632,7.3,11.0,21.933,7.1
289,Only You,Comedy|Romance,tm1127511,MOVIE,"Manila-based real estate broker Dee returns to Bulusan, Sorsogon, for her grandmother Dulce’s 80th birthday. She re-acquaints with past schoolmate Edong, a seemingly unambitious and simple-minded coconut farmer. While starting at the wrong foot, they soon get to know each other more. Their mutual admiration gradually turns into love.",2021,,110,"['comedy', 'romance', 'drama']",['PH'],,tt16210966,6.5,73.0,2.083,6.0
204312,Only You,Drama|Romance,tm1127511,MOVIE,"Manila-based real estate broker Dee returns to Bulusan, Sorsogon, for her grandmother Dulce’s 80th birthday. She re-acquaints with past schoolmate Edong, a seemingly unambitious and simple-minded coconut farmer. While starting at the wrong foot, they soon get to know each other more. Their mutual admiration gradually turns into love.",2021,,110,"['comedy', 'romance', 'drama']",['PH'],,tt16210966,6.5,73.0,2.083,6.0
356,Forrest Gump,Comedy|Drama|Romance|War,tm122434,MOVIE,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",1994,PG-13,142,"['drama', 'romance']",['US'],,tt0109830,8.8,2021343.0,63.449,8.478
