movieId,title,genres,titles,year,AVERAGE_RATING,RATINGS_CNT
106002,Ender's Game (2013),Action|Adventure|Sci-Fi|IMAX,Ender's Game,2013,3.4,3752
106100,Dallas Buyers Club (2013),Drama,Dallas Buyers Club,2013,3.91,6783
91628,New Year's Eve (2011),Comedy|Romance,New Year's Eve,2011,2.79,372
102993,"Way, Way Back, The (2013)",Comedy|Drama,"Way, Way Back, The",2013,3.77,1383
142507,Pawn Sacrifice (2015),Drama,Pawn Sacrifice,2015,3.56,298
87992,Mammuth (2010),Comedy|Drama,Mammuth,2010,3.17,26
97699,Love Me No More (Deux jours à tuer) (2008),Drama|Romance,Love Me No More,Deux jours à tuer) (2008,3.13,24
176933,The Foreigner (2017),Action|Thriller,The Foreigner,2017,3.46,477
116724,You Are the Apple of My Eye (2011),Comedy|Drama|Romance,You Are the Apple of My Eye,2011,3.74,21
82097,Karthik Calling Karthik (2010),Comedy|Drama|Thriller,Karthik Calling Karthik,2010,3.3,22
184637,The Ravenous (2017),Horror,The Ravenous,2017,3.03,34
170393,The Last Word (2017),Comedy,The Last Word,2017,3.57,43
194308,Ride (2018),Thriller,Ride,2018,2.5,8
92357,Cameraman: The Life and Work of Jack Cardiff (2010),Documentary,Cameraman: The Life and Work of Jack Cardiff,2010,3.23,20
159437,Azhar (2016),Drama,Azhar,2016,2.67,6
171983,Patti Cake$ (2017),Drama,Patti Cake$,2017,3.21,51
193283,102 Not Out (2018),Children|Comedy|Drama,102 Not Out,2018,3.3,5
132648,Honig im Kopf (2014),Comedy|Drama,Honig im Kopf,2014,3.39,31
171817,Outpost: Rise of the Spetsnaz (2013),Action|Horror|Sci-Fi,Outpost: Rise of the Spetsnaz,2013,2.81,8
172641,Arès (2016),Drama|Sci-Fi|Thriller,Arès,2016,3.03,16
149368,A Christmas Detour (2015),Romance,A Christmas Detour,2015,2.89,19
158944,Strawberry Summer (2012),Drama,Strawberry Summer,2012,4.25,2
175665,The Only Living Boy in New York (2017),Drama,The Only Living Boy in New York,2017,3.55,37
195065,1985 (2018),Drama,1985,2018,3.06,8
