title,imdb_score,predicted_score
Taxi Driver,8.2,9.0
Deliverance,7.7,6.9
Monty Python and the Holy Grail,8.2,7.6
The Dirty Dozen,7.7,7.3
Life of Brian,8.0,7.6
Dirty Harry,7.7,6.8
Bonnie and Clyde,7.7,7.3
The Blue Lagoon,5.8,6.6
The Guns of Navarone,7.5,7.7
The Professionals,7.3,6.9
Richard Pryor: Live in Concert,8.1,7.6
White Christmas,7.5,7.0
Cairo Station,7.5,7.2
Hitler: A Career,7.5,8.3
FTA,6.2,8.0
Alexandria… Why?,7.2,7.2
The Land,8.1,7.3
Dostana,2.1,6.8
Saladin the Victorious,7.6,7.7
Alibaba Aur 40 Chor,6.2,6.5
The Blazing Sun,7.4,7.1
Dark Waters,6.7,6.6
We Are All for the Fatherland,6.1,7.5
Singapore,6.4,7.5
"Beirut, Oh Beirut",6.4,7.1
The Return of the Prodigal Son,7.2,7.2
Khoon Khoon,5.1,6.8
Manoranjan,6.5,7.2
Ujala,6.6,7.3
Whispers,7.8,7.6
Chadi Jawani Budhe Nu,4.6,6.7
Bandie,4.4,6.6
GoodFellas,8.7,9.7
Full Metal Jacket,8.3,8.8
Once Upon a Time in America,8.3,8.0
When Harry Met Sally...,7.7,7.0
A Nightmare on Elm Street,7.4,6.7
Steel Magnolias,7.3,6.7
Police Academy,6.7,7.0
Christine,6.7,6.2
Awakenings,7.8,7.3
National Lampoon's Christmas Vacation,7.5,7.0
Lean On Me,7.4,7.0
Eddie Murphy Raw,7.6,7.6
She's Gotta Have It,6.7,6.3
Endless Love,4.9,6.8
Vaashi,6.7,6.8
Mobile Suit Gundam: Char's Counterattack,7.3,7.3
Mobile Suit Gundam II: Soldiers of Sorrow,7.2,7.5
Sam Kinison: Breaking the Rules,7.2,7.3
Waiting for the Hearse,8.0,6.5
Tim Allen: Men Are Pigs,6.1,7.0
Mobile Suit Gundam III: Encounters in Space,7.6,7.5
Monty Python Live at the Hollywood Bowl,7.9,7.6
Disco Dancer,6.4,6.6
Agneepath,7.6,7.0
Parrot Sketch Not Included: Twenty Years of Monty Python,8.1,6.3
Too Young The Hero,6.7,7.0
A Stoning in Fulham County,5.9,6.7
The Ryan White Story,7.2,6.8
Dil,6.6,6.9
Adam: His Song Continues,7.0,6.8
The George McKenna Story,6.0,6.8
In Defense of a Married Man,5.6,6.7
Mujrim,5.4,6.9
Aakhri Adaalat,5.1,6.4
"Alexandria, Again and Forever",6.5,6.8
Duniya,6.3,7.1
Strange Voices,6.3,6.8
Jaal,5.2,6.7
Quiet Victory: The Charlie Wedemeyer Story,7.2,6.8
Muqaddar Ka Faisla,4.8,6.8
Pyar Ke Do Pal,6.1,6.7
Sohni Mahiwal,6.1,6.7
Ek Jaan Hain Hum,6.3,6.4
An Egyptian Story,7.3,7.2
The Little Wars,6.3,7.1
Unspeakable Acts,6.1,6.7
Mission: Impossible,7.1,7.0
Se7en,8.6,10.3
Boogie Nights,7.9,7.7
Forrest Gump,8.8,11.2
Snatch,8.3,8.3
The Talented Mr. Ripley,7.4,7.2
Titanic,7.9,9.6
Starship Troopers,7.3,6.5
Mission: Impossible II,6.1,6.8
Dumb and Dumber,7.3,7.4
Gattaca,7.8,6.6
Léon: The Professional,8.5,8.8
Natural Born Killers,7.3,6.4
The Quick and the Dead,6.5,5.8
You've Got Mail,6.7,6.8
Big Daddy,6.4,7.1
Vampires,6.1,5.7
Donnie Brasco,7.7,7.4
A River Runs Through It,7.2,7.0
"Girl, Interrupted",7.3,7.3
Last Action Hero,6.4,6.6
My Girl,6.9,6.3
Wyatt Earp,6.7,7.2
Eraser,6.1,6.6
Neon Genesis Evangelion: The End of Evangelion,8.0,6.9
Vegas Vacation,5.9,6.4
In the Line of Fire,7.2,6.7
Little Women,7.3,6.3
U.S. Marshals,6.5,6.4
Anaconda,4.8,5.6
The Replacements,6.6,6.7
Seven Years in Tibet,7.1,7.5
The Net,5.9,6.5
Cliffhanger,6.5,7.1
Menace II Society,7.5,6.7
Johnny Mnemonic,5.6,6.1
3 Ninjas Kick Back,4.5,5.9
Edge of Seventeen,6.8,6.4
The Devil's Own,6.2,6.4
Spawn,5.2,5.9
Croupier,7.0,6.7
The Next Karate Kid,4.5,5.9
Geronimo: An American Legend,6.5,7.2
Double Team,4.8,5.7
Heavy,6.8,6.5
The Players Club,5.9,6.8
Kuch Kuch Hota Hai,7.6,7.1
Children of God,6.3,7.1
Knight Rider 2000,4.5,6.0
Hum Aapke Hain Koun..!,7.5,7.2
Dil Se..,7.5,6.9
Jerry Seinfeld: I'm Telling You for the Last Time,7.9,7.2
Sankofa,7.0,6.9
Herod's Law,7.8,6.4
Wild Tango,6.7,6.6
The Last Days,7.9,8.1
Sam Kinison: Live in Vegas,6.6,7.2
Bill Hicks: Revelations,8.5,7.2
Bombay,8.1,6.6
Mann,6.1,6.8
Soldier,6.2,6.1
Sinbad: Son of a Preacher Man,6.8,7.0
Damini,7.8,7.3
Hum Saath Saath Hain,6.2,6.7
Destiny,7.1,6.8
Chronicle of a Disappearance,6.9,6.6
Muthu,7.6,6.6
Jeans,6.4,6.8
Monty Python: Live at Aspen,7.8,7.0
Minsara Kanavu,6.7,6.7
Duplicate,5.5,6.3
Avvai Shanmugi,7.9,7.2
Anjaam,6.6,6.4
A Triumph of the Heart: The Ricky Bell Story,7.2,6.8
Phir Bhi Dil Hai Hindustani,6.1,6.8
Children of Shatila,8.1,7.2
Tim Allen: Rewires America,6.0,6.9
West Beirut,7.6,6.6
Govindha Govindha,6.6,6.8
Out of Life,6.9,6.9
Gumrah,6.1,6.5
Sinbad: Nothin' but the Funk,6.3,7.0
Sinbad: Afros and Bellbottoms,7.8,7.2
Fiza,6.0,6.2
Before the Flying Circus,7.3,7.0
The Other,5.9,6.3
Yodha,4.5,6.7
The Emigrant,6.5,6.9
Hello Brother,4.6,6.0
Dushmani,5.0,6.4
Nightmare in Columbia County,5.5,6.5
Shikari,5.8,6.9
The Mist,7.1,6.2
Mean Girls,7.1,7.2
Catch Me If You Can,8.1,9.1
Old School,7.0,6.8
Anchorman: The Legend of Ron Burgundy,7.1,7.1
Inception,8.8,10.9
The Departed,8.5,9.3
Insidious,6.8,6.2
War of the Worlds,6.5,6.7
Wanted,6.7,6.7
Casino Royale,8.0,7.4
The Terminal,7.4,7.5
Michael Clayton,7.2,6.8
Road to Perdition,7.7,8.1
Big Fish,8.0,7.2
The Hurt Locker,7.5,7.7
Troy,7.3,8.4
Sherlock Holmes,7.6,7.3
Love Actually,7.6,7.6
Get Smart,6.5,6.3
Quantum of Solace,6.6,6.8
The Blind Side,7.6,7.5
Identity,7.3,6.6
I Am Legend,7.2,7.4
Grown Ups,5.9,7.1
The Girl Next Door,6.7,6.7
Public Enemies,7.0,7.5
Not Another Teen Movie,5.7,6.6
Blow,7.5,7.4
Hancock,6.4,7.3
The Pursuit of Happyness,8.0,7.8
Monster,7.3,6.8
Rambo,7.0,6.4
Something's Gotta Give,6.7,6.8
Harold & Kumar Go to White Castle,7.0,6.7
Thir13en Ghosts,5.6,5.9
Cloudy with a Chance of Meatballs,6.9,6.7
Halloween,6.0,6.1
Jackass: The Movie,6.6,7.2
Semi-Pro,5.8,6.4
The Lake House,6.8,7.2
The Girl Next Door,6.5,5.8
The Book of Eli,6.8,6.5
Blood Diamond,8.0,7.5
Just Like Heaven,6.7,6.6
Ip Man,8.0,7.1
21,6.8,7.3
Friday the 13th,5.5,5.7
Let Me In,7.1,6.2
A Nightmare on Elm Street,5.2,6.0
Miss Congeniality 2: Armed and Fabulous,5.1,6.4
The Bucket List,7.4,7.1
Scary Movie 4,5.1,6.0
The Sweetest Thing,5.1,6.1
How Do You Know,5.4,6.4
Mr. Bean's Holiday,6.4,6.2
The Interpreter,6.4,6.5
John Q,7.0,6.8
3 Idiots,8.4,7.9
The One,5.9,5.8
The Texas Chainsaw Massacre,6.2,6.2
The Cat in the Hat,4.0,5.8
Tears of the Sun,6.6,6.7
Due Date,6.5,7.2
We Are Marshall,7.0,6.8
Blood and Bone,6.7,6.1
Freddy vs. Jason,5.7,5.8
The Golden Compass,6.1,6.3
The Men Who Stare at Goats,6.2,6.7
Cleaner,6.1,6.1
Monster House,6.6,6.8
Good Luck Chuck,5.6,6.1
"10,000 BC",5.1,6.7
Cop Out,5.5,6.0
The Cave,5.1,5.2
Starsky & Hutch,6.1,6.7
New York Minute,4.9,5.6
Rumor Has It...,5.5,6.4
Comedian,6.9,7.2
Catch and Release,5.9,6.4
Lagaan: Once Upon a Time in India,8.1,7.0
Friends with Money,5.8,6.2
Ip Man 2,7.5,6.8
Life As We Know It,6.5,6.6
Death at a Funeral,5.7,6.6
Dreamer: Inspired By a True Story,6.8,6.3
Premonition,5.9,6.5
Soul Plane,4.5,6.0
The Texas Chainsaw Massacre: The Beginning,5.8,6.6
Louis C.K.: Hilarious,8.4,6.1
Deck the Halls,5.0,5.9
Takers,6.2,6.2
Like Stars on Earth,8.3,7.0
Did You Hear About the Morgans?,4.9,6.3
Stuart Little 2,5.5,6.5
Half Past Dead,4.6,5.9
Christmas with the Kranks,5.4,6.1
Alpha and Omega,5.1,5.8
Initial D,6.3,6.4
Naruto Shippuden the Movie,6.7,6.5
Gifted Hands: The Ben Carson Story,7.6,6.3
The Legend of the Nahuala,6.1,6.5
One Piece: Strong World,7.5,6.8
Chaos,6.4,6.2
Waist Deep,5.8,6.1
Trailer Park Boys: The Movie,7.1,6.3
Tito,7.2,7.0
Even the Rain,7.4,6.7
Katt Williams: The Pimp Chronicles Pt. 1,7.6,6.8
Udaan,8.1,6.8
Om Shanti Om,6.7,6.2
Trailer Park Boys: Countdown to Liquor Day,7.3,6.3
Kabhi Khushi Kabhie Gham,7.4,7.2
Kal Ho Naa Ho,7.9,6.9
Jab We Met,7.9,6.7
From Within,5.6,6.6
Black Friday,8.4,7.1
Jodhaa Akbar,7.5,7.3
"Cairo 6,7,8",7.4,6.4
Zach Galifianakis: Live at the Purple Onion,7.2,6.9
First Sunday,4.5,6.3
Inuyasha the Movie: Affections Touching Across Time,7.2,6.9
Swades,8.1,7.4
Bon Cop Bad Cop,6.5,6.0
The Boy Who Cried Werewolf,5.9,5.5
Rang De Basanti,8.1,7.6
Guru,7.7,7.7
Whitney Cummings: Money Shot,6.2,6.7
Welcome,7.0,6.3
Jim Gaffigan: King Baby,7.7,6.9
Mike Birbiglia: What I Should Have Said Was Nothing,7.6,5.9
Dil Chahta Hai,8.1,7.1
Anbe Sivam,8.7,7.0
Tony Manero,6.8,6.4
A Lion in the House,8.7,8.0
Bleach the Movie: Fade to Black,7.1,7.0
Delta Farce,3.6,6.0
My Suicide,7.0,6.6
Phir Hera Pheri,7.1,6.7
Naruto Shippuden the Movie: The Lost Tower,6.8,6.6
Divine Intervention,6.6,6.4
Da Kath & Kim Code,7.3,6.2
Kevin Hart: I'm a Grown Little Man,7.5,7.0
Bleach the Movie: Hell Verse,7.4,6.7
Naruto Shippuden the Movie: Bonds,6.8,6.7
Don,7.1,6.4
Chup Chup Ke,6.9,6.7
Naruto Shippuden the Movie: The Will of Fire,7.0,7.0
Fashion,6.9,6.7
Arahan,6.6,5.9
Whisky,7.1,6.5
Ajab Prem Ki Ghazab Kahani,6.3,5.9
Te quiero,5.0,6.5
Sir! No Sir!,7.6,7.3
Race,7.0,6.5
Sivaji: The Boss,7.5,6.7
Inuyasha the Movie 2: The Castle Beyond the Looking Glass,7.3,6.5
Interview with a Serial Killer,5.9,6.9
G.O.R.A.,8.0,6.2
Guzaarish,7.4,6.2
Raajneeti,7.1,6.6
Jaane Tu... Ya Jaane Na,7.4,6.5
Accident,6.6,5.9
Jeff Dunham: Arguing with Myself,8.0,7.1
Chalte Chalte,6.5,6.8
Naruto: Ninja Clash in the Land of Snow,6.6,6.8
Taxi No. 9 2 11,7.2,6.4
Yuva,7.3,6.4
Wake Up Sid,7.6,6.4
"One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom",7.0,7.0
Awara Paagal Deewana,6.2,6.5
Kabhi Alvida Naa Kehna,6.0,6.7
The Blue Umbrella,7.3,6.2
Naruto: Guardians of the Crescent Moon Kingdom,6.4,6.7
Ishqiya,7.3,6.1
Life in a Metro,7.4,6.3
I Hate Luv Storys,5.6,6.2
Main Hoon Na,7.0,6.2
Billu,6.3,6.7
Paheli,6.3,6.7
Rock On!!,7.7,6.8
"LSD: Love, Sex aur Dhokha",7.2,6.3
One Piece: The Desert Princess and the Pirates: Adventure in Alabasta,6.9,6.9
Break Ke Baad,5.1,6.2
Kaminey,7.4,6.3
Fuga,6.2,6.3
Zozo,6.5,6.4
Luck by Chance,7.1,6.5
Trailer Park Boys: Say Goodnight to the Bad Guys,7.8,5.9
Naruto: Legend of the Stone of Gelel,6.4,7.0
Honeymoon Travels Pvt. Ltd.,6.1,6.4
Manorama Six Feet Under,7.6,6.6
Dhobi Ghat,7.0,6.4
Inuyasha the Movie 4: Fire on the Mystic Island,7.2,6.7
Dev.D,7.9,6.6
Karthik Calling Karthik,7.1,6.0
Dostana,6.5,6.6
Romantik Komedi,5.3,5.9
Kurbaan,5.7,6.1
Once Upon a Time in Mumbaai,7.4,5.9
Delhi-6,6.1,6.7
Inuyasha the Movie 3: Swords of an Honorable Ruler,7.6,6.6
Bluffmaster!,6.6,6.2
Golmaal Returns,5.1,6.4
Oye Lucky! Lucky Oye!,7.7,5.8
Kaal,4.7,5.2
Shootout at Lokhandwala,7.1,6.9
Kannathil Muthamittal,8.4,6.7
Madness in the Desert,8.4,7.5
What's Your Raashee?,4.8,6.9
Kyaa Kool Hai Hum,6.1,6.7
My Führer,5.5,6.6
Eternal Summer,7.0,6.1
The Figurine (Araromire),4.4,6.0
Jim Gaffigan: Beyond the Pale,7.8,7.0
Mumbai Meri Jaan,7.7,6.7
Kevin James: Sweat the Small Stuff,7.4,6.9
Mukhsin,7.3,6.2
This Is the Life,6.3,7.1
The Unjust,6.6,6.0
The Trailer Park Boys Xmas Special,8.0,6.0
C Kkompany,5.5,6.4
Bosta,6.4,6.5
Linewatch,5.4,6.2
We Are Family,5.6,6.2
Love in a Puff,7.1,6.1
Lakshya,7.8,6.8
Agyaat,2.9,5.7
Vizontele,8.0,6.7
Do Dooni Chaar,7.5,6.7
Welcome to Sajjanpur,6.9,6.6
Peepli Live,7.4,6.4
The Legend of Bhagat Singh,8.1,7.0
Banyuki,7.1,6.7
Main Aurr Mrs Khanna,3.4,6.2
Ishq Vishk,6.1,6.5
Kismat Konnection,5.3,6.6
Twins Mission,5.2,6.2
Frank & Cindy,6.9,7.2
Salt of This Sea,6.8,6.1
Apaharan,7.4,6.7
Gangaajal,7.8,6.7
Laugh Out Loud,7.0,6.0
Ijé: The Journey,6.2,6.4
Harishchandrachi Factory,8.4,6.8
Gina Yashere: Skinny B*tch,6.5,6.8
Sergio,7.4,7.1
The Kite,6.4,6.4
Beast Stalker,6.8,5.7
Aamir,7.6,6.0
Chhota Bheem Aur Krishna,6.4,6.5
Palermo Hollywood,5.3,6.6
Connected,6.6,5.7
EMI,4.4,6.7
Kucch To Hai,4.3,5.8
Fida,5.4,5.8
My Amnesia Girl,6.7,5.9
Krishna Cottage,5.1,5.6
Jeff Dunham's Very Special Christmas Special,7.4,7.2
Mission Istaanbul,3.4,6.1
Under the Bombs,7.0,6.6
Kyo Kii... Main Jhuth Nahin Bolta,5.3,6.7
Old Thieves: The Legend of Artegio,8.0,7.1
Stray Bullet,6.3,6.2
Well Done Abba,7.2,6.5
Kisaan,5.5,5.9
Once a Gangster,5.7,5.9
Perazhagan,6.4,6.3
"Do Paise Ki Dhoop, Chaar Aane Ki Baarish",6.5,6.6
Pomegranates and Myrrh,6.2,6.4
Kuselan,4.8,6.6
Chance Pe Dance,4.8,6.3
Dhan Dhana Dhan Goal,5.0,6.7
Aagey Se Right,5.2,6.6
Falafel,6.7,6.3
Hattrick,4.3,6.2
Look for a Star,5.6,6.2
Koi Aap Sa,5.5,6.5
Talentime,7.4,6.5
Dhoondte Reh Jaaoge,5.6,6.6
A Very Special Love,6.5,6.1
Ezra,6.4,6.5
Frontiers of Dreams and Fears,8.2,7.2
A Love Story,6.4,6.2
Bheem vs Aliens,7.6,6.7
Tango with Me,6.3,5.8
Brother's Shadow,6.1,6.4
Rabun,7.6,6.2
Project X,6.6,6.6
Zero Dark Thirty,7.4,7.7
The Amazing Spider-Man,6.9,7.4
The Dark Knight Rises,8.4,10.1
Mission: Impossible - Ghost Protocol,7.4,7.0
Margin Call,7.1,6.6
Django Unchained,8.4,10.1
Les Misérables,7.5,7.7
Argo,7.7,7.7
Kung Fu Panda 2,7.2,7.1
Contagion,6.8,6.4
Sherlock Holmes: A Game of Shadows,7.4,6.9
Contraband,6.4,6.3
Savages,6.4,6.4
Dark Shadows,6.2,6.5
Total Recall,6.2,6.2
The Smurfs,5.4,6.5
Soul Surfer,7.0,6.2
LOL,4.3,6.2
Unknown,6.8,6.4
Rise of the Guardians,7.2,6.4
Here Comes the Boom,6.4,6.0
Berserk: The Golden Age Arc I - The Egg of the King,7.5,6.5
Rurouni Kenshin Part I: Origins,7.4,6.9
Everything Must Go,6.4,6.2
Silenced,8.0,6.6
The Rite,6.0,6.1
Quartet,6.8,6.2
Arthur Christmas,7.1,6.9
John Mulaney: New in Town,8.2,6.8
Hop,5.4,6.6
Red Riding Hood,5.4,5.8
The History of Future Folk,7.1,5.8
A Very Harold & Kumar Christmas,6.2,6.2
Escape from Planet Earth,5.8,6.2
One Piece Film: Z,7.8,6.7
Bully,7.4,7.4
"Chaos, Disorder",6.2,6.0
Sebastian Maniscalco: What's Wrong with People?,8.0,5.9
Singham,6.8,6.4
Berserk: The Golden Age Arc II - The Battle for Doldrey,7.7,6.4
Zindagi Na Milegi Dobara,8.1,6.6
Sleepless Nights,7.7,7.2
A Princess for Christmas,6.3,5.7
Middle of Nowhere,6.5,6.5
Donald Glover: Weirdo,7.4,6.8
