title,imdb_score,predicted_score
Taxi Driver,8.2,8.342233263160157
Deliverance,7.7,6.208444200660158
Monty Python and the Holy Grail,8.2,6.872506700660158
The Dirty Dozen,7.7,7.366647325660158
Life of Brian,8.0,6.975045763160158
Dirty Harry,7.7,6.061959825660158
Bonnie and Clyde,7.7,7.302194200660158
The Blue Lagoon,5.8,6.344186388160158
The Guns of Navarone,7.5,7.645944200660158
The Professionals,7.3,6.726998888160158
Richard Pryor: Live in Concert,8.1,6.997506700660158
White Christmas,7.5,7.275827013160158
Cairo Station,7.5,7.507272325660158
Hitler: A Career,7.5,7.570748888160158
FTA,6.2,7.264108263160158
Alexandria… Why?,7.2,6.599069200660158
The Land,8.1,7.366647325660158
Dostana,2.1,6.507272325660158
Saladin the Victorious,7.6,7.695748888160158
Alibaba Aur 40 Chor,6.2,5.828561388160158
The Blazing Sun,7.4,7.373483263160158
Dark Waters,6.7,7.013131700660158
We Are All for the Fatherland,6.1,6.922311388160158
Singapore,6.4,7.370553575660158
"Beirut, Oh Beirut",6.4,6.467233263160158
The Return of the Prodigal Son,7.2,6.534616075660158
Khoon Khoon,5.1,6.149850450660158
Manoranjan,6.5,6.345162950660158
Ujala,6.6,7.664498888160158
Whispers,7.8,7.357858263160158
Chadi Jawani Budhe Nu,4.6,6.056100450660158
Bandie,4.4,5.975045763160158
GoodFellas,8.7,9.475045763160157
Full Metal Jacket,8.3,8.726022325660157
Once Upon a Time in America,8.3,7.738717638160158
When Harry Met Sally...,7.7,6.870553575660158
A Nightmare on Elm Street,7.4,6.500436388160158
Steel Magnolias,7.3,6.545358263160158
Police Academy,6.7,6.692819200660158
Christine,6.7,6.017037950660158
Awakenings,7.8,7.054147325660158
National Lampoon's Christmas Vacation,7.5,6.805123888160158
Lean On Me,7.4,6.851998888160158
Eddie Murphy Raw,7.6,7.419381700660158
She's Gotta Have It,6.7,6.089303575660158
Endless Love,4.9,6.544381700660158
Vaashi,6.7,6.651803575660158
Mobile Suit Gundam: Char's Counterattack,7.3,7.409616075660158
Mobile Suit Gundam II: Soldiers of Sorrow,7.2,7.502389513160158
Sam Kinison: Breaking the Rules,7.2,7.108834825660158
Waiting for the Hearse,8.0,6.351998888160158
Tim Allen: Men Are Pigs,6.1,6.810006700660158
Mobile Suit Gundam III: Encounters in Space,7.6,7.597116075660158
Monty Python Live at the Hollywood Bowl,7.9,7.356881700660158
Disco Dancer,6.4,6.436959825660158
Agneepath,7.6,6.860787950660158
Parrot Sketch Not Included: Twenty Years of Monty Python,8.1,6.258248888160158
Too Young The Hero,6.7,6.966256700660158
A Stoning in Fulham County,5.9,6.662545763160158
The Ryan White Story,7.2,6.754342638160158
Dil,6.6,6.723092638160158
Adam: His Song Continues,7.0,6.741647325660158
The George McKenna Story,6.0,6.733834825660158
In Defense of a Married Man,5.6,6.607858263160158
Mujrim,5.4,6.885202013160158
Aakhri Adaalat,5.1,6.289498888160158
"Alexandria, Again and Forever",6.5,6.684030138160158
Duniya,6.3,6.790475450660158
Strange Voices,6.3,6.746530138160158
Jaal,5.2,6.633248888160158
Quiet Victory: The Charlie Wedemeyer Story,7.2,6.726998888160158
Muqaddar Ka Faisla,4.8,6.620553575660158
Pyar Ke Do Pal,6.1,6.570748888160158
Sohni Mahiwal,6.1,6.451608263160158
Ek Jaan Hain Hum,6.3,6.060006700660158
An Egyptian Story,7.3,6.869577013160158
The Little Wars,6.3,6.944772325660158
Unspeakable Acts,6.1,6.660592638160158
Mission: Impossible,7.1,6.926217638160158
Se7en,8.6,10.135202013160157
Boogie Nights,7.9,7.569772325660158
Forrest Gump,8.8,11.052194200660157
Snatch,8.3,8.237741075660157
The Talented Mr. Ripley,7.4,7.173287950660158
Titanic,7.9,9.478952013160157
Starship Troopers,7.3,6.575631700660158
Mission: Impossible II,6.1,6.781686388160158
Dumb and Dumber,7.3,7.273873888160158
Gattaca,7.8,6.647897325660158
Léon: The Professional,8.5,8.681100450660157
Natural Born Killers,7.3,6.359811388160158
The Quick and the Dead,6.5,5.793405138160158
You've Got Mail,6.7,6.804147325660158
Big Daddy,6.4,7.040475450660158
Vampires,6.1,5.691842638160158
Donnie Brasco,7.7,7.344186388160158
A River Runs Through It,7.2,6.845162950660158
"Girl, Interrupted",7.3,7.172311388160158
